S	I	9237.538	6.470519	16.00	6.524	0.040	7.46	-5.24	0.00	0.00
Mg	II	9244.265	56.968326	12.01	8.654	-0.030	0.00	-5.11	0.00	0.00
Fe	II	9244.739	0.236105	26.01	6.217	-2.395	8.60	-6.53	-7.91	-7.91
Fe	II	9251.761	0.832920	26.01	9.736	0.113	8.74	-5.71	-7.65	-7.65
Si	I	9253.683	0.128963	14.00	6.261	-0.860	0.00	0.00	0.00	0.00
Fe	II	9255.321	0.116850	26.01	6.222	-2.698	8.50	-6.53	-7.91	-7.91
Mg	I	9255.778	1.849668	12.00	5.753	-0.150	0.00	0.00	0.00	0.00
Fe	I	9259.003	0.146472	26.00	4.913	-0.470	8.69	-5.28	-7.69	-7.69
O	I	9260.806	7.692862	8.00	10.740	-0.270	7.87	-4.95	0.00	0.00
O	I	9260.848	17.222221	8.00	10.740	0.080	7.88	-4.95	0.00	0.00
O	I	9260.936	13.368779	8.00	10.740	-0.030	7.90	-4.95	0.00	0.00
O	I	9262.582	5.836331	8.00	10.740	-0.390	7.88	-4.95	0.00	0.00
O	I	9262.670	22.706097	8.00	10.740	0.200	7.90	-4.95	0.00	0.00
O	I	9262.776	35.986997	8.00	10.740	0.400	7.93	-4.95	0.00	0.00
O	I	9265.826	2.487011	8.00	10.741	-0.760	7.90	-4.95	0.00	0.00
O	I	9265.932	18.016928	8.00	10.741	0.100	7.94	-4.95	0.00	0.00
O	I	9266.006	70.094336	8.00	10.741	0.690	7.88	-4.95	0.00	0.00
Fe	II	9272.217	0.305121	26.01	9.775	-0.302	8.93	-5.68	-7.69	-7.69
Fe	II	9296.895	0.332136	26.01	9.904	-0.194	8.67	-5.72	-7.63	-7.63
Fe	II	9297.270	1.850027	26.01	9.653	0.412	8.69	-5.72	-7.68	-7.68
Fe	II	9303.603	0.429721	26.01	9.761	-0.162	8.69	-5.70	-7.64	-7.64
Si	I	9318.220	0.148993	14.00	6.098	-0.890	0.00	0.00	0.00	0.00
Ca	II	9320.652	0.172671	20.01	9.691	-0.304	7.84	-2.54	-7.14	-7.14
Ca	II	9320.652	0.140676	20.01	9.691	-0.393	7.84	-2.54	-7.14	-7.14
Fe	II	9325.018	0.140125	26.01	9.941	-0.549	8.71	-5.72	-7.64	-7.64
Fe	II	9326.958	0.380070	26.01	9.761	-0.216	8.89	-5.70	-7.69	-7.69
Mg	II	9327.522	0.143483	12.01	12.856	-0.290	0.00	0.00	0.00	0.00
Mg	II	9327.574	0.184842	12.01	12.856	-0.180	0.00	0.00	0.00	0.00
Mg	II	9340.542	0.164460	12.01	12.858	-0.230	0.00	0.00	0.00	0.00
Mg	II	9340.542	0.133678	12.01	12.858	-0.320	0.00	0.00	0.00	0.00
Fe	I	9350.398	0.132978	26.00	4.548	-0.718	8.17	-5.34	-7.58	-7.58
Fe	II	9376.961	0.267308	26.01	9.941	-0.270	8.72	-5.72	-7.68	-7.68
N	I	9386.805	3.551918	7.00	10.679	-0.016	8.69	-5.39	0.00	0.00
N	I	9392.793	6.273433	7.00	10.690	0.237	8.69	-5.39	0.00	0.00
N	I	9395.848	0.135658	7.00	11.602	-0.920	0.00	0.00	0.00	0.00
Fe	I	9401.108	0.108393	26.00	5.033	-0.538	8.82	-4.91	-7.66	-7.66
C	I	9405.730	76.318880	6.00	7.685	0.225	0.00	-5.06	0.00	0.00
Fe	II	9406.633	0.563795	26.01	9.849	0.002	8.65	-5.72	-7.64	-7.64
Si	II	9412.665	0.985874	14.01	12.839	0.980	0.00	0.00	0.00	0.00
Si	II	9412.780	0.765288	14.01	12.839	0.870	0.00	0.00	0.00	0.00
S	I	9413.274	1.756430	16.00	8.411	0.520	0.00	0.00	0.00	0.00
Si	I	9413.500	1.629277	14.00	5.082	-0.420	0.00	-4.80	0.00	0.00
Fe	I	9414.038	0.104496	26.00	5.064	-0.537	8.80	-5.21	-7.65	-7.65
Fe	II	9414.130	0.305645	26.01	6.222	-2.285	8.61	-6.53	-7.91	-7.91
Mg	I	9414.951	0.375108	12.00	5.946	-0.740	8.27	0.00	0.00	0.00
Mg	I	9414.967	0.820649	12.00	5.946	-0.400	0.00	0.00	0.00	0.00
Mg	I	9414.978	0.383846	12.00	5.946	-0.730	0.00	0.00	0.00	0.00
Mg	I	9414.978	0.542198	12.00	5.946	-0.580	0.00	0.00	0.00	0.00
Fe	II	9417.295	0.203913	26.01	9.700	-0.523	8.78	-5.71	-7.69	-7.69
S	I	9421.765	1.218953	16.00	8.409	0.360	0.00	0.00	0.00	0.00
Si	I	9421.786	0.144909	14.00	6.125	-0.890	0.00	0.00	0.00	0.00
Fe	II	9428.569	0.404303	26.01	9.736	-0.206	8.83	-5.71	-7.69	-7.69
Mg	I	9429.814	0.111670	12.00	5.931	-1.275	0.00	0.00	0.00	0.00
Fe	II	9432.239	0.103961	26.01	12.166	0.558	8.97	-5.73	-7.68	-7.68
Mg	I	9432.764	0.174769	12.00	5.932	-1.080	0.00	0.00	0.00	0.00
S	I	9436.967	0.825992	16.00	8.408	0.190	0.00	0.00	0.00	0.00
S	I	9437.489	0.153221	16.00	8.411	-0.540	0.00	0.00	0.00	0.00
Mg	I	9438.782	0.480925	12.00	5.933	-0.640	0.00	0.00	0.00	0.00
S	I	9444.845	0.150190	16.00	8.409	-0.550	0.00	0.00	0.00	0.00
Mn	II	9446.846	0.143968	25.01	4.065	-2.389	8.43	-6.51	-7.87	-7.87
