release_candidate,paper_2206_03131_role,publication_candidate_tags,publication_candidate_dois,local_origin_tags,local_origin_notes,object_id,db_object_name,db_object_aliases,db_sptype,db_ra,db_dec,db_e_bv,index_star_name,combine_id,echelle_order,mode,telluricflag,combineflag,obs_date,db_wavelength_min,db_wavelength_max,index_x_min,index_x_max,local_fits_path,file_exists,file_size_bytes,index_spec_path,index_object_dir,combine_path,index_setting
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,BD+404220 | Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,51,WIDE,1,1,2014-08-30-12:18:17.12,10855.2695,11128.4805,10855.08579827253,11128.29673577253,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m51.fits,True,20160,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m51.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,BD+404220 | Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,58,WIDE,1,1,2014-08-30-12:18:17.12,9550.1543,9784.3252,9549.993022151568,9784.163920589061,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m58.fits,True,20160,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m58.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,BD+404220 | Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,61,WIDE,1,1,2014-08-30-12:18:17.12,9093.2949,9301.5645,9093.141782513796,9301.411313763801,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m61.fits,True,17280,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m61.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,BD+404220 | Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,53,WIDE,1,1,2014-08-30-12:18:17.12,10446.8848,10707.0928,10446.70799388056,10706.91600169306,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m53.fits,True,20160,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m53.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,VI Cyg 5 | BD+404220 | Cyg OB2 5 | BD+40 4220 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,54,WIDE,1,1,2014-08-30-12:18:17.12,10246.9443,10507.1279,10246.77088020783,10506.95447395784,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m54.fits,True,20160,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m54.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | BD+404220 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,44,WIDE,1,1,2014-08-30-12:18:17.12,12551.2168,12938.2773,12551.00459262781,12938.06513950281,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m44.fits,True,20160,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m44.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,BD+404220 | Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,50,WIDE,1,1,2014-08-30-12:18:17.12,11063.6865,11349.8408,11063.49912704088,11349.65342391588,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m50.fits,True,20160,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m50.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,BD+404220 | Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,43,WIDE,1,1,2014-08-30-12:18:17.12,12852.6797,13229.916,12852.46288501257,13229.69921313757,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m43.fits,True,20160,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m43.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,BD+404220 | Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,60,WIDE,1,1,2014-08-30-12:18:17.12,9256.2705,9438.4248,9256.114687199271,9438.268984074271,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m60.fits,True,17280,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m60.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,VI Cyg 5 | BD+404220 | Cyg OB2 5 | BD+40 4220 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,42,WIDE,1,1,2014-08-30-12:18:17.12,13138.0918,13553.8428,13137.87029928493,13553.62127584743,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m42.fits,True,20160,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m42.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,BD+404220 | Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,56,WIDE,1,1,2014-08-30-12:18:17.12,9890.0469,10124.2578,9889.879700883306,10124.09063838331,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m56.fits,True,17280,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m56.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,VI Cyg 5 | BD+404220 | Cyg OB2 5 | BD+40 4220 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,59,WIDE,1,1,2014-08-30-12:18:17.12,9393.1904,9601.3672,9393.031999887044,9601.208757699538,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m59.fits,True,17280,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m59.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,BD+404220 | Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,57,WIDE,1,1,2014-08-30-12:18:17.12,9733.0938,9941.2207,9732.929482475838,9941.056435600836,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m57.fits,True,17280,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m57.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
True,paper_2206_03131_reddened_target,Hamano2016_CygOB2_DIB,10.3847/0004-637X/821/1/42,,,13,BD+40  4220,BD+404220 | Cyg OB2 5 | BD+40 4220 | VI Cyg 5 | CygOB2No5,O6.5-7f+O5.5-6f D,20:32:22.42,+41:18:18.9,2.11,BD+404220,BD+40_4220_o13_c2T,46,WIDE,1,1,2014-08-30-12:18:17.12,12005.915,12356.9961,12005.7116317302,12356.79268641771,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/spectrum_files/BD+40_4220_o13_c2T_m46.fits,True,20160,CygOB2No5/BD+40_4220_o13_c2T/BD+40_4220_o13_c2T_m46.fits,CygOB2No5,/Users/hamano/DIB_analysis/DIB_pipeline_dir/BD+40_4220/BD+40_4220_o13_c2T/,wide
